# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   1.167116e-02    5.402067e+05    1.620620e+04
   1.222498e-02    4.488378e+05    1.346513e+04
   1.280509e-02    3.729211e+05    1.118763e+04
   1.341272e-02    3.098438e+05    9.295315e+03
   1.404918e-02    2.574353e+05    7.723060e+03
   1.471585e-02    2.138920e+05    6.416761e+03
   1.541415e-02    1.777154e+05    5.331461e+03
   1.614558e-02    1.476599e+05    4.429796e+03
   1.691173e-02    1.226905e+05    3.680716e+03
   1.771422e-02    1.019471e+05    3.058412e+03
   1.855480e-02    8.471448e+04    2.541434e+03
   1.943527e-02    7.039844e+04    2.111953e+03
   2.035752e-02    5.850504e+04    1.755151e+03
   2.132353e-02    4.862384e+04    1.458715e+03
   2.233538e-02    4.041390e+04    1.212417e+03
   2.339524e-02    3.359200e+04    1.007760e+03
   2.450540e-02    2.792299e+04    8.376897e+02
   2.566823e-02    2.321163e+04    6.963488e+02
   2.688625e-02    1.929584e+04    5.788752e+02
   2.816206e-02    1.604110e+04    4.812329e+02
   2.949841e-02    1.333571e+04    4.000713e+02
   3.089818e-02    1.108694e+04    3.326083e+02
   3.236437e-02    9.217776e+03    2.765333e+02
   3.390013e-02    7.664233e+03    2.299270e+02
   3.550877e-02    6.373146e+03    1.911944e+02
   3.719374e-02    5.300317e+03    1.590095e+02
   3.895866e-02    4.408991e+03    1.322697e+02
   4.080734e-02    3.668589e+03    1.100577e+02
   4.274374e-02    3.053663e+03    9.160990e+01
   4.477202e-02    2.543027e+03    7.629081e+01
   4.689655e-02    2.119042e+03    6.357127e+01
   4.912190e-02    1.767024e+03    5.301073e+01
   5.145285e-02    1.474753e+03    4.424258e+01
   5.389440e-02    1.232063e+03    3.696189e+01
   5.645181e-02    1.030507e+03    3.091520e+01
   5.913057e-02    8.630692e+02    2.589208e+01
   6.193645e-02    7.239288e+02    2.171786e+01
   6.487547e-02    6.082581e+02    1.824774e+01
   6.795396e-02    5.120548e+02    1.536165e+01
   7.117853e-02    4.320007e+02    1.296002e+01
   7.455611e-02    3.653441e+02    1.096032e+01
   7.809396e-02    3.098018e+02    9.294054e+00
   8.179969e-02    2.634790e+02    7.904369e+00
   8.568127e-02    2.248020e+02    6.744059e+00
   8.974704e-02    1.924638e+02    5.773913e+00
   9.400574e-02    1.653785e+02    4.961355e+00
   9.846652e-02    1.426442e+02    4.279327e+00
   1.031390e-01    1.235118e+02    3.705353e+00
   1.080332e-01    1.073590e+02    3.220771e+00
   1.131596e-01    9.366982e+01    2.810095e+00
   1.185292e-01    8.201612e+01    2.460484e+00
   1.241537e-01    7.204345e+01    2.161304e+00
   1.300451e-01    6.345877e+01    1.903763e+00
   1.362160e-01    5.602039e+01    1.680612e+00
   1.426798e-01    4.952968e+01    1.485890e+00
   1.494502e-01    4.382411e+01    1.314723e+00
   1.565420e-01    3.877151e+01    1.163145e+00
   1.639703e-01    3.426525e+01    1.027957e+00
   1.717510e-01    3.022016e+01    9.066048e-01
   1.799010e-01    2.656912e+01    7.970736e-01
   1.884377e-01    2.326006e+01    6.978017e-01
   1.973795e-01    2.025336e+01    6.076009e-01
   2.067456e-01    1.751956e+01    5.255869e-01
   2.165561e-01    1.503722e+01    4.511166e-01
   2.268322e-01    1.279100e+01    3.837300e-01
   2.375959e-01    1.076987e+01    3.230962e-01
   2.488703e-01    8.965489e+00    2.689647e-01
   2.606798e-01    7.370692e+00    2.211208e-01
   2.730496e-01    5.978229e+00    1.793469e-01
   2.860065e-01    4.779716e+00    1.433915e-01
   2.995781e-01    3.764892e+00    1.129468e-01
   3.137938e-01    2.921202e+00    8.763607e-02
   3.286840e-01    2.233744e+00    6.701233e-02
   3.442808e-01    1.685562e+00    5.056687e-02
   3.606177e-01    1.258246e+00    3.774737e-02
   3.777298e-01    9.327464e-01    2.798239e-02
   3.956539e-01    6.903043e-01    2.070913e-02
   4.144285e-01    5.133414e-01    1.540024e-02
   4.340941e-01    3.862076e-01    1.158623e-02
   4.546928e-01    2.956795e-01    8.870384e-03
   4.762690e-01    2.311666e-01    6.934997e-03
   4.988691e-01    1.846363e-01    5.539090e-03
   5.225415e-01    1.503168e-01    4.509503e-03
   5.473373e-01    1.242670e-01    3.728011e-03
   5.733097e-01    1.039115e-01    3.117345e-03
   6.005145e-01    8.761435e-02    2.628431e-03
   6.290102e-01    7.434046e-02    2.230214e-03
   6.588582e-01    6.341558e-02    1.902467e-03
   6.901225e-01    5.437432e-02    1.631230e-03
   7.228703e-01    4.687284e-02    1.406185e-03
   7.571721e-01    4.064251e-02    1.219275e-03
   7.931017e-01    3.546603e-02    1.063981e-03
   8.307361e-01    3.116462e-02    9.349385e-04
   8.701564e-01    2.759020e-02    8.277059e-04
   9.114473e-01    2.461983e-02    7.385948e-04
   9.546975e-01    2.215138e-02    6.645413e-04
   1.000000e+00    2.010000e-02    6.030000e-04
