# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   2.339524e-02    3.971779e+03    1.985890e+02
   2.450540e-02    3.379301e+03    1.689650e+02
   2.566823e-02    2.881157e+03    1.440578e+02
   2.688625e-02    2.461234e+03    1.230617e+02
   2.816206e-02    2.106186e+03    1.053093e+02
   2.949841e-02    1.804975e+03    9.024875e+01
   3.089818e-02    1.548485e+03    7.742425e+01
   3.236437e-02    1.329205e+03    6.646026e+01
   3.390013e-02    1.140964e+03    5.704818e+01
   3.550877e-02    9.787037e+02    4.893518e+01
   3.719374e-02    8.382993e+02    4.191496e+01
   3.895866e-02    7.163958e+02    3.581979e+01
   4.080734e-02    6.102767e+02    3.051384e+01
   4.274374e-02    5.177490e+02    2.588745e+01
   4.477202e-02    4.370437e+02    2.185218e+01
   4.689655e-02    3.667304e+02    1.833652e+01
   4.912190e-02    3.056424e+02    1.528212e+01
   5.145285e-02    2.528122e+02    1.264061e+01
   5.389440e-02    2.074160e+02    1.037080e+01
   5.645181e-02    1.687281e+02    8.436406e+00
   5.913057e-02    1.360849e+02    6.804247e+00
   6.193645e-02    1.088580e+02    5.442902e+00
   6.487547e-02    8.643788e+01    4.321894e+00
   6.795396e-02    6.822640e+01    3.411320e+00
   7.117853e-02    5.363815e+01    2.681908e+00
   7.455611e-02    4.210791e+01    2.105395e+00
   7.809396e-02    3.310235e+01    1.655118e+00
   8.179969e-02    2.613309e+01    1.306655e+00
   8.568127e-02    2.076825e+01    1.038412e+00
   8.974704e-02    1.664024e+01    8.320121e-01
   9.400574e-02    1.344860e+01    6.724300e-01
   9.846652e-02    1.095741e+01    5.478704e-01
   1.031390e-01    8.988367e+00    4.494184e-01
   1.080332e-01    7.410993e+00    3.705496e-01
   1.131596e-01    6.131877e+00    3.065939e-01
   1.185292e-01    5.084613e+00    2.542307e-01
   1.241537e-01    4.221466e+00    2.110733e-01
   1.300451e-01    3.507182e+00    1.753591e-01
   1.362160e-01    2.914799e+00    1.457399e-01
   1.426798e-01    2.423004e+00    1.211502e-01
   1.494502e-01    2.014542e+00    1.007271e-01
   1.565420e-01    1.675240e+00    8.376201e-02
   1.639703e-01    1.393374e+00    6.966871e-02
   1.717510e-01    1.159219e+00    5.796094e-02
   1.799010e-01    9.646975e-01    4.823487e-02
   1.884377e-01    8.031017e-01    4.015508e-02
   1.973795e-01    6.688582e-01    3.344291e-02
   2.067456e-01    5.573373e-01    2.786686e-02
   2.165561e-01    4.646928e-01    2.323464e-02
   2.268322e-01    3.877298e-01    1.938649e-02
   2.375959e-01    3.237938e-01    1.618969e-02
   2.488703e-01    2.706798e-01    1.353399e-02
   2.606798e-01    2.265561e-01    1.132781e-02
   2.730496e-01    1.899010e-01    9.495050e-03
   2.860065e-01    1.594502e-01    7.972512e-03
   2.995781e-01    1.341537e-01    6.707686e-03
   3.137938e-01    1.131390e-01    5.656949e-03
   3.286840e-01    9.568127e-02    4.784064e-03
   3.442808e-01    8.117853e-02    4.058926e-03
   3.606177e-01    6.913057e-02    3.456529e-03
   3.777298e-01    5.912190e-02    2.956095e-03
   3.956539e-01    5.080734e-02    2.540367e-03
   4.144285e-01    4.390013e-02    2.195006e-03
   4.340941e-01    3.816206e-02    1.908103e-03
   4.546928e-01    3.339524e-02    1.669762e-03
   4.762690e-01    2.943527e-02    1.471764e-03
   4.988691e-01    2.614558e-02    1.307279e-03
   5.225415e-01    2.341272e-02    1.170636e-03
   5.473373e-01    2.114243e-02    1.057121e-03
   5.733097e-01    1.925642e-02    9.628209e-04
   6.005145e-01    1.768964e-02    8.844820e-04
   6.290102e-01    1.638806e-02    8.194031e-04
   6.588582e-01    1.530679e-02    7.653397e-04
   6.901225e-01    1.440855e-02    7.204273e-04
   7.228703e-01    1.366234e-02    6.831169e-04
   7.571721e-01    1.304244e-02    6.521218e-04
   7.931017e-01    1.252746e-02    6.263731e-04
   8.307361e-01    1.209965e-02    6.049827e-04
   8.701564e-01    1.174426e-02    5.872129e-04
   9.114473e-01    1.144902e-02    5.724509e-04
   9.546975e-01    1.120375e-02    5.601876e-04
   1.000000e+00    1.100000e-02    5.500000e-04
