# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   1.241537e-01    4.308827e-01    2.154413e-02
   1.300451e-01    3.596425e-01    1.798212e-02
   1.362160e-01    3.004606e-01    1.502303e-02
   1.426798e-01    2.512961e-01    1.256481e-02
   1.494502e-01    2.104534e-01    1.052267e-02
   1.565420e-01    1.765239e-01    8.826194e-03
   1.639703e-01    1.483374e-01    7.416870e-03
   1.717510e-01    1.249219e-01    6.246094e-03
   1.799010e-01    1.054697e-01    5.273487e-03
   1.884377e-01    8.931017e-02    4.465508e-03
   1.973795e-01    7.588582e-02    3.794291e-03
   2.067456e-01    6.473373e-02    3.236686e-03
   2.165561e-01    5.546928e-02    2.773464e-03
   2.268322e-01    4.777298e-02    2.388649e-03
   2.375959e-01    4.137938e-02    2.068969e-03
   2.488703e-01    3.606798e-02    1.803399e-03
   2.606798e-01    3.165561e-02    1.582781e-03
   2.730496e-01    2.799010e-02    1.399505e-03
   2.860065e-01    2.494502e-02    1.247251e-03
   2.995781e-01    2.241537e-02    1.120769e-03
   3.137938e-01    2.031390e-02    1.015695e-03
   3.286840e-01    1.856813e-02    9.284064e-04
   3.442808e-01    1.711785e-02    8.558926e-04
   3.606177e-01    1.591306e-02    7.956529e-04
   3.777298e-01    1.491219e-02    7.456095e-04
   3.956539e-01    1.408073e-02    7.040367e-04
   4.144285e-01    1.339001e-02    6.695006e-04
   4.340941e-01    1.281621e-02    6.408103e-04
   4.546928e-01    1.233952e-02    6.169762e-04
   4.762690e-01    1.194353e-02    5.971764e-04
   4.988691e-01    1.161456e-02    5.807279e-04
   5.225415e-01    1.134127e-02    5.670636e-04
   5.473373e-01    1.111424e-02    5.557121e-04
   5.733097e-01    1.092564e-02    5.462821e-04
   6.005145e-01    1.076896e-02    5.384482e-04
   6.290102e-01    1.063881e-02    5.319403e-04
   6.588582e-01    1.053068e-02    5.265340e-04
   6.901225e-01    1.044085e-02    5.220427e-04
   7.228703e-01    1.036623e-02    5.183117e-04
   7.571721e-01    1.030424e-02    5.152122e-04
   7.931017e-01    1.025275e-02    5.126373e-04
   8.307361e-01    1.020997e-02    5.104983e-04
   8.701564e-01    1.017443e-02    5.087213e-04
   9.114473e-01    1.014490e-02    5.072451e-04
   9.546975e-01    1.012038e-02    5.060188e-04
   1.000000e+00    1.010000e-02    5.050000e-04
