# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   5.822382e-03    3.915655e+04    1.957828e+03
   6.098667e-03    3.492561e+04    1.746281e+03
   6.388062e-03    3.115765e+04    1.557883e+03
   6.691190e-03    2.780200e+04    1.390100e+03
   7.008702e-03    2.481352e+04    1.240676e+03
   7.341280e-03    2.215204e+04    1.107602e+03
   7.689641e-03    1.978176e+04    9.890880e+02
   8.054531e-03    1.767081e+04    8.835403e+02
   8.436737e-03    1.579079e+04    7.895395e+02
   8.837079e-03    1.411643e+04    7.058216e+02
   9.256418e-03    1.262522e+04    6.312610e+02
   9.695656e-03    1.129710e+04    5.648549e+02
   1.015574e-02    1.011421e+04    5.057105e+02
   1.063765e-02    9.060650e+03    4.530325e+02
   1.114243e-02    8.122254e+03    4.061127e+02
   1.167116e-02    7.286407e+03    3.643203e+02
   1.222498e-02    6.541870e+03    3.270935e+02
   1.280509e-02    5.878637e+03    2.939319e+02
   1.341272e-02    5.287793e+03    2.643896e+02
   1.404918e-02    4.761397e+03    2.380698e+02
   1.471585e-02    4.292376e+03    2.146188e+02
   1.541415e-02    3.874431e+03    1.937216e+02
   1.614558e-02    3.501948e+03    1.750974e+02
   1.691173e-02    3.169927e+03    1.584963e+02
   1.771422e-02    2.873911e+03    1.436955e+02
   1.855480e-02    2.609930e+03    1.304965e+02
   1.943527e-02    2.374445e+03    1.187223e+02
   2.035752e-02    2.164303e+03    1.082152e+02
   2.132353e-02    1.976693e+03    9.883463e+01
   2.233538e-02    1.809106e+03    9.045529e+01
   2.339524e-02    1.659307e+03    8.296534e+01
   2.450540e-02    1.525301e+03    7.626507e+01
   2.566823e-02    1.405309e+03    7.026546e+01
   2.688625e-02    1.297742e+03    6.488709e+01
   2.816206e-02    1.201180e+03    6.005902e+01
   2.949841e-02    1.114357e+03    5.571787e+01
   3.089818e-02    1.036140e+03    5.180701e+01
   3.236437e-02    9.655162e+02    4.827581e+01
   3.390013e-02    9.015797e+02    4.507899e+01
   3.550877e-02    8.435205e+02    4.217602e+01
   3.719374e-02    7.906132e+02    3.953066e+01
   3.895866e-02    7.422090e+02    3.711045e+01
   4.080734e-02    6.977272e+02    3.488636e+01
   4.274374e-02    6.566487e+02    3.283243e+01
   4.477202e-02    6.185098e+02    3.092549e+01
   4.689655e-02    5.828976e+02    2.914488e+01
   4.912190e-02    5.494449e+02    2.747224e+01
   5.145285e-02    5.178274e+02    2.589137e+01
   5.389440e-02    4.877601e+02    2.438801e+01
   5.645181e-02    4.589955e+02    2.294977e+01
   5.913057e-02    4.313210e+02    2.156605e+01
   6.193645e-02    4.045580e+02    2.022790e+01
   6.487547e-02    3.785608e+02    1.892804e+01
   6.795396e-02    3.532152e+02    1.766076e+01
   7.117853e-02    3.284387e+02    1.642193e+01
   7.455611e-02    3.041790e+02    1.520895e+01
   7.809396e-02    2.804137e+02    1.402068e+01
   8.179969e-02    2.571493e+02    1.285746e+01
   8.568127e-02    2.344194e+02    1.172097e+01
   8.974704e-02    2.122831e+02    1.061416e+01
   9.400574e-02    1.908217e+02    9.541087e+00
   9.846652e-02    1.701353e+02    8.506763e+00
   1.031390e-01    1.503376e+02    7.516879e+00
   1.080332e-01    1.315508e+02    6.577539e+00
   1.131596e-01    1.138985e+02    5.694924e+00
   1.185292e-01    9.749833e+01    4.874917e+00
   1.241537e-01    8.245435e+01    4.122718e+00
   1.300451e-01    6.884921e+01    3.442461e+00
   1.362160e-01    5.673728e+01    2.836864e+00
   1.426798e-01    4.613898e+01    2.306949e+00
   1.494502e-01    3.703731e+01    1.851865e+00
   1.565420e-01    2.937685e+01    1.468842e+00
   1.639703e-01    2.306582e+01    1.153291e+00
   1.717510e-01    1.798119e+01    8.990596e-01
   1.799010e-01    1.397639e+01    6.988193e-01
   1.884377e-01    1.089096e+01    5.445479e-01
   1.973795e-01    8.561094e+00    4.280547e-01
   2.067456e-01    6.829665e+00    3.414833e-01
   2.165561e-01    5.554655e+00    2.777327e-01
   2.268322e-01    4.614992e+00    2.307496e-01
   2.375959e-01    3.913349e+00    1.956674e-01
   2.488703e-01    3.376000e+00    1.688000e-01
   2.606798e-01    2.950330e+00    1.475165e-01
   2.730496e-01    2.600907e+00    1.300454e-01
   2.860065e-01    2.305085e+00    1.152542e-01
   2.995781e-01    2.048929e+00    1.024465e-01
   3.137938e-01    1.823958e+00    9.119789e-02
   3.286840e-01    1.624836e+00    8.124178e-02
   3.442808e-01    1.447933e+00    7.239667e-02
   3.606177e-01    1.290523e+00    6.452617e-02
   3.777298e-01    1.150376e+00    5.751879e-02
   3.956539e-01    1.025574e+00    5.127870e-02
   4.144285e-01    9.144319e-01    4.572159e-02
   4.340941e-01    8.154531e-01    4.077266e-02
   4.546928e-01    7.273064e-01    3.636532e-02
   4.762690e-01    6.488062e-01    3.244031e-02
   4.988691e-01    5.788969e-01    2.894484e-02
   5.225415e-01    5.166383e-01    2.583191e-02
   5.473373e-01    4.611931e-01    2.305965e-02
   5.733097e-01    4.118156e-01    2.059078e-02
   6.005145e-01    3.678420e-01    1.839210e-02
   6.290102e-01    3.286807e-01    1.643403e-02
   6.588582e-01    2.938051e-01    1.469025e-02
   6.901225e-01    2.627462e-01    1.313731e-02
   7.228703e-01    2.350863e-01    1.175431e-02
   7.571721e-01    2.104534e-01    1.052267e-02
   7.931017e-01    1.885163e-01    9.425814e-03
   8.307361e-01    1.689799e-01    8.448996e-03
   8.701564e-01    1.515816e-01    7.579078e-03
   9.114473e-01    1.360872e-01    6.804362e-03
   9.546975e-01    1.222886e-01    6.114429e-03
   1.000000e+00    1.100000e-01    5.500000e-03
